division,district,upazila,union,A2IReference,facilityNameBengali,facilityNameEnglish,facilityTypeBengali,facilityTypeEnglish,email,phone,type
Rangpur,Kurigram,Bhurungamari,Bhurungamari,division=6&district=55&upazila=413&union=737,ভূরুঙ্গামারী ইউনিয়ন পরিষদ,Bhurungamari Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Gazipur,Kaliganj,Moktarpur,division=3&district=20&upazila=165&union=3476,মোক্তারপুর ইউনিয়ন পরিষদ,Moktarpur Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Gazipur,Kaliganj,Nagari,division=3&district=20&upazila=165&union=3477,নাগারি ইউনিয়ন পরিষদ,Nagari Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Gazipur,Kaliganj,Tumulia,division=3&district=20&upazila=165&union=3478,তিমুলিয়া ইউনিয়ন পরিষদ,Tumulia Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Rangpur,Kurigram,Kurigram Sadar,Kanthalbari,division=6&district=55&upazila=417&union=766,কাঁঠালবাড়ী ইউনিয়ন পরিষদ,Kanthalbari Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Rangpur,Kurigram,Kurigram Sadar,Mogalbachha,division=6&district=55&upazila=417&union=767,মোগলবাসা ইউনিয়ন পরিষদ,Mogolbasa Union Porishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Rangpur,Kurigram,Kurigram Sadar,Punchgachhi,division=6&district=55&upazila=417&union=768, পাচগাছী ইউনিয়ন পরিষদ,Punchgachhi Union Porishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Rangpur,Kurigram,Kurigram Sadar,Belgachha,division=6&district=55&upazila=417&union=761,বেলগাছা ইউনিয়ন পরিষদ,Belgachha Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Rangpur,Kurigram,Kurigram Sadar,Bhogdanga,division=6&district=55&upazila=417&union=762,ভোগডাঙ্গা ইউনিয়ন পরিষদ,Bhogdanga Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Rangpur,Kurigram,Kurigram Sadar,Ghogadaha,division=6&district=55&upazila=417&union=763,ঘোগাদহ ইউনিয়ন পরিষদ,Ghogadaha Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Rangpur,Kurigram,Kurigram Sadar,Holokhana,division=6&district=55&upazila=417&union=764,হলোখানা ইউনিয়ন পরিষদ,Holokhana Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Rangpur,Kurigram,Kurigram Sadar,Jatrapur,division=6&district=55&upazila=417&union=765,যাত্রাপুর ইউনিয়ন পরিষদ,Jatrapur Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Nurallapur,division=3&district=29&upazila=229&union=4150,নূরালাপুর ইউনিয়ন পরিষদ,Nurallapur Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Mahishasura,division=3&district=29&upazila=229&union=4151,মহিষাশুড়া ইউনিয়ন পরিষদ,Mahishasura Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Meherpara,division=3&district=29&upazila=229&union=4152,মেহেড়পাড়া ইউনিয়ন পরিষদ,Meherpara Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Nazarpur,division=3&district=29&upazila=229&union=4153,নজরপুর ইউনিয়ন পরিষদ,Nazarpur Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Paikarchar,division=3&district=29&upazila=229&union=4154,পাইকারচর ইউনিয়ন পরিষদ,Paikarchar Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Panchdona,division=3&district=29&upazila=229&union=4155,পাঁচদোনা ইউনিয়ন পরিষদ,Panchdona Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Amdia,division=3&district=29&upazila=229&union=4144,আমদিয়া ইউনিয়ন পরিষদ,Amdia Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Chardighaldi,division=3&district=29&upazila=229&union=4145,চরদিঘলদী ইউনয়ন পরিষদ,Chardighaldi Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Chinishpur,division=3&district=29&upazila=229&union=4146,চিনিশপুর ইউনিয়ন পরিষদ,Chinishpur Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Hajipur,division=3&district=29&upazila=229&union=4147,হাজীপুর ইউনিয়ন পরিষদ,Hajipur Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Karimpur,division=3&district=29&upazila=229&union=4148,করিমপুর ইউনিয়ন পরিষদ,Karimpur Union parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Kanthalia,division=3&district=29&upazila=229&union=4149,কাঠালিয়া ইউনিয়ন পরিষদ,Kanthalia Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
Dhaka,Narsingdi,Narsingdi Sadar,Alokbali,division=3&district=29&upazila=229&union=4143,আলোকবালী ইউনিয়ন পরিষদ,Alokbali Union Parishad,ইউনিয়ন পরিষদ,CRVS_OFFICE,,
