"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"3bb4e0e4-2c3f-4710-8607-560f28114529","Municipality","MADHABPUR PAURASHAVA","মাধবপুর পৌরসভা","106",false,"division=7&district=61&upazila=457&municipality=106","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5f8a6211-2d83-4a0c-8a0a-65a3aa04d5dc","Municipality","NABIGANJ PAURASHAVA","নবীগঞ্জ পৌরসভা","107",false,"division=7&district=61&upazila=458&municipality=107","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e226e574-979d-4b26-a71e-d8c15f0cc309","Municipality","BARLEKHA PAURASHAVA","বড়লেখা পৌরসভা","171",false,"division=7&district=62&upazila=459&municipality=171","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ccede728-23db-4796-946c-9cb41b4e9b84","Municipality","KAMALGANJ PAURASHAVA","কমলগঞ্জ পৌরসভা","172",false,"division=7&district=62&upazila=461&municipality=172","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"854e1965-c3bf-407f-a51a-a6081cd7233d","Municipality","KULAURA PAURASHAVA","কুলাউড়া পৌরসভা","173",false,"division=7&district=62&upazila=462&municipality=173","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5098de66-3c88-41f6-b936-9db4bc4a9896","Municipality","MAULVIBAZAR PAURASHAVA","মৌলভীবাজার পৌরসভা","174",false,"division=7&district=62&upazila=463&municipality=174","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7d3a3107-8c5e-4520-ab05-d000f38955ca","Municipality","SREEMANGAL PAURASHAVA","শ্রীমঙ্গল পৌরসভা","175",false,"division=7&district=62&upazila=465&municipality=175","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cb1297b9-06d3-4aa0-a770-50d77b34248c","Municipality","CHHATAK PAURASHAVA","ছাতক পৌরসভা","292",false,"division=7&district=63&upazila=467&municipality=292","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bcc15358-21a8-4d1c-9e7e-475aed431358","Municipality","DERAI PAURASHAVA","দিরাই পৌরসভা","293",false,"division=7&district=63&upazila=468&municipality=293","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"480a53fe-6f23-42ae-969e-4aec7d905dc7","Municipality","JAGANNATHPUR PAURASHAVA","জগন্নাথপুর পৌরসভা","294",false,"division=7&district=63&upazila=471&municipality=294","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"677a3f40-caeb-4315-912d-9dc77c11a57e","Municipality","SUNAMGANJ PAURASHAVA","সুনামগঞ্জ পৌরসভা","295",false,"division=7&district=63&upazila=474&municipality=295","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53e7f9ec-70b0-4283-8cad-531916740e9a","Municipality","BEANI BAZAR PAURASHAVA","বিয়ানী বাজার পৌরসভা","296",false,"division=7&district=64&upazila=478&municipality=296","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d127a970-1cd0-4652-bdfd-f40268b544f2","Municipality","GOLAPGANJ PAURASHAVA","গোলাপগঞ্জ পৌরসভা","297",false,"division=7&district=64&upazila=483&municipality=297","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"de369fdf-7dbc-46a4-8873-473685c4d65f","Municipality","KANAIGHAT PAURASHAVA","কানাইঘাট পৌরসভা","298",false,"division=7&district=64&upazila=486&municipality=298","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e69163de-bd82-497a-b9df-98d31ed85cfe","Municipality","SYLHET CITY CORP.","সিলেট সিটি কর্পোরেশন","299",false,"division=7&district=64&upazila=487&municipality=299","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05b5a0f2-95ec-4aaf-81dd-5fba403ca886","Municipality","ZAKIGANJ PAURASHAVA","জকিগঞ্জ পৌরসভা","300",false,"division=7&district=64&upazila=488&municipality=300","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
