"OpenCRVS_ID","Type","English_name","Bengali_name","Bureau_of_Statistics_ID","Map_data_exists","OISF_A2I_Reference","Rural_or_Urban","Estimated_Male_Population","Estimated_Female_Population","Estimated_number_of_male_children_aged_10_years","Estimated_number_of_female_children_aged_10_years","Estimated_number_of_male_children_aged_9_years","Estimated_number_of_female_children_aged_9_years","Estimated_number_of_male_children_aged_8_years","Estimated_number_of_female_children_aged_8_years","Estimated_number_of_male_children_aged_7_years","Estimated_number_of_female_children_aged_7_years","Estimated_number_of_male_children_aged_6_years","Estimated_number_of_female_children_aged_6_years","Estimated_number_of_male_children_aged_5_years","Estimated_number_of_female_children_aged_5_years","Estimated_number_of_male_children_aged_4_years","Estimated_number_of_female_children_aged_4_years","Estimated_number_of_male_children_aged_3_years","Estimated_number_of_female_children_aged_3_years","Estimated_number_of_male_children_aged_2_years","Estimated_number_of_female_children_aged_2_years","Estimated_number_of_male_children_aged_1_years","Estimated_number_of_female_children_aged_1_years","Estimated_number_of_male_children_aged_under_6_months","Estimated_number_of_female_children_aged_under_6_months"
"3da6001b-3516-46ba-b83e-91e986ca496a","Thana","NANIARCHAR  UPAZILA","নানিয়ারচর","480",false,"division=2&district=17&thana=480","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3ac5df8b-8c40-4caa-9dae-d71f5cb5e64c","Thana","RAJASTHALI  UPAZILA","রাজস্থালী","481",false,"division=2&district=17&thana=481","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eec40c3b-95cc-4c31-b0de-b99be2e8268a","Thana","RANGAMATI SADAR  UP","রাঙ্গামাটি সদর","482",false,"division=2&district=17&thana=482","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c22a252b-ab90-40fa-9a1d-06388e772e70","Thana","ADABOR","আদাবর","123",false,"division=3&district=18&thana=123","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a57f42e0-94b9-4d56-bcab-5226d2163285","Thana","BADDA","বাড্ডা","124",false,"division=3&district=18&thana=124","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9b4409bf-9ea1-457f-b4ef-ea39d0d49146","Thana","BANGSHAL","বংশাল","125",false,"division=3&district=18&thana=125","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ddf52e35-074b-4515-8e20-1d65b13efd87","Thana","BIMAN BANDAR","বিমান বন্দর","126",false,"division=3&district=18&thana=126","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c6a4b88d-794d-48b8-a47d-04d6ce59ff22","Thana","BANANI","","127",false,"division=3&district=18&thana=127","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2b3f5432-7aae-4b0a-af3c-87f053c166b1","Thana","CANTONMENT","ক্যান্টনমেন্ট","128",false,"division=3&district=18&thana=128","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dd038504-f22d-453f-a0fe-f1e32fd8c93c","Thana","CHAK BAZAR","চক বাজার","129",false,"division=3&district=18&thana=129","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
