reference,male_population_2007,female_population_2007,population_2007,male_female_ratio_2007,crude_birth_rate_2007,male_population_2008,female_population_2008,population_2008,male_female_ratio_2008,crude_birth_rate_2008,male_population_2009,female_population_2009,population_2009,male_female_ratio_2009,crude_birth_rate_2009,male_population_2010,female_population_2010,population_2010,male_female_ratio_2010,crude_birth_rate_2010,male_population_2011,female_population_2011,population_2011,male_female_ratio_2011,crude_birth_rate_2011,male_population_2012,female_population_2012,population_2012,male_female_ratio_2012,crude_birth_rate_2012,male_population_2013,female_population_2013,population_2013,male_female_ratio_2013,crude_birth_rate_2013,male_population_2014,female_population_2014,population_2014,male_female_ratio_2014,crude_birth_rate_2014,male_population_2015,female_population_2015,population_2015,male_female_ratio_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,male_female_ratio_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,male_female_ratio_2017,crude_birth_rate_2017
division=1,6193388,5823530,12015749,106.4,20.1,5987597,5686065,11673344,105.3,21.4,6470877,6126825,12596804,105.6,17.8,6366410,6036190,12401942,105.5,18.6,6442184,6083211,12524031,105.9,18.7,6572302,6185851,12756305,106.2,19.1,4744652,4541715,9286420,104.5,18.7,4314503,4243423,8557916,101.7,18.2,8491786,8457966,16949751,100.4,17.9,8723629,8661298,17384932,100.7,18.2,8444951,8314783,16759809,101.6,17.8
division=2,14658579,13985024,28644475,104.8,20.1,15451921,14811959,30265409,104.3,19.9,15451921,14811959,30265409,104.3,18.1,15127828,14507560,29637547,104.3,18.8,15184290,14617548,29805174,103.9,18.8,15432881,14874433,30311518,103.8,18.1,15174381,15101229,30275430,100.5,18.8,15172397,15518759,30691241,97.8,18.9,13521010,13829595,27350730,97.8,20.6,13695157,14047749,27742869,97.5,21.5,13496785,13912344,27408858,97.0,21.3
division=3,20598648,19781761,40383972,104.1,22.1,20606252,19798555,40407624,104.1,20.2,20606252,19798555,40407624,104.1,19.5,21512683,20640683,42156664,104.2,19.7,21919923,20968922,42890545,104.5,19.7,22084471,21067612,43152770,104.8,20.7,25721885,25001833,50723777,102.9,20.6,25451555,25292099,50743648,100.6,19.9,17532918,17366328,34899211,101.0,19.4,17787489,17673803,35461299,100.6,19.1,18645069,18602041,37247123,100.2,17.3
division=4,9935888,9445831,19381705,105.2,20.0,10065763,9601242,19667191,104.8,20.2,10065763,9601242,19667191,104.8,17.6,10337810,9835676,20173190,105.1,18.3,10605698,10087892,20693060,105.1,18.3,10687072,10188021,20875255,104.9,17.4,8576485,8362773,16939262,102.6,16.8,9157054,8988338,18145367,101.9,17.7,10112249,10030636,20142870,100.8,16.9,10144306,10028518,20172832,101.2,17.8,9820163,9723824,19544040,101.0,17.7
division=5,9211612,8618291,17827385,106.9,21.4,9180554,8603870,17781990,106.7,21.7,9180554,8603870,17781990,106.7,19.4,9696352,9076279,18768978,106.8,18.8,9828106,9195797,19019836,106.9,18.8,10038241,9399014,19433234,106.8,18.5,10156106,9779343,19935528,103.9,18.2,10302587,10073063,20375615,102.3,17.9,10803036,10569625,21372594,102.2,18.1,10871932,10671669,21543617,101.9,17.1,10737014,10502104,21239258,102.2,18.1
division=6,8170313,7698494,15867555,106.1,,8283590,7713733,15994284,107.4,,8283590,7713733,15994284,107.4,,8613443,8104051,16715187,106.3,,8751892,8278060,17028423,105.7,21.5,8903711,8384595,17285911,106.2,19.2,8789773,8497186,17287007,103.4,19.2,8968723,8730048,17698732,102.7,19.3,10485135,10252961,20738029,102.3,18.8,10654064,10412629,21066713,102.3,18.5,10456234,10223311,20679684,102.3,18.5
division=7,4331571,4147069,8479160,104.4,18.5,4524324,4384576,8910158,103.2,19.8,4524324,4384576,8910158,103.2,19.8,4445475,4299561,8746493,103.4,18.3,4367907,4268571,8638931,102.3,18.3,4481322,4400474,8885007,101.8,17.3,5136718,5115921,10252576,100.4,17.4,5233182,5354270,10587482,97.7,18.0,8653866,8792889,17446815,98.4,18.5,8623423,8804333,17427737,97.9,17.6,9799783,10021593,19821229,97.8,18.8
